datum,titel_kurz_d,inserate_ja,annahme
2013-03-03 09:00:00,Bundesbeschluss über die Familienpolitik,4,0
2013-03-03 10:00:00,Initiative «gegen die Abzockerei»,68,1
2013-03-03 11:00:00,Raumplanungsgesetz,648,1
2013-06-09 12:00:00,Initiative «Volkswahl des Bundesrates»,0,0
2013-06-09 13:00:00,Asylgesetz,0,1
2013-09-22 14:00:00,Initiative zur Aufhebung der Wehrpflicht,1,0
2013-09-22 15:00:00,Epidemiengesetz,24,1
2013-09-22 16:00:00,Arbeitsgesetz (Öffnungszeiten von Tankstellenshops),292,1
2013-11-24 17:00:00,Initiative «1:12 – Für gerechte Löhne»,42,0
2013-11-24 18:00:00,«Familieninitiative»,19,0
2013-11-24 19:00:00,Änderung des Nationalstrassenabgabegesetzes (Autobahnvignette),50,0
2014-02-09 20:00:00,Finanzierung und Ausbau der Eisenbahninfrastruktur (FABI),361,1
2014-02-09 21:00:00,Initiative «Abtreibungsfinanzierung ist Privatsache»,16,0
2014-02-09 22:00:00,Initiative «Gegen Masseneinwanderung»,376,1
2014-05-18 23:00:00,Bundesbeschluss über die medizinische Grundversorgung,76,1
2014-05-18 00:00:00,Initiative «Pädophile sollen nicht mehr mit Kindern arbeiten dürfen»,19,1
2014-05-18 01:00:00,«Mindestlohn-Initiative»,319,0
2014-05-18 02:00:00,Fonds zur Beschaffung des Kampfflugzeugs Gripen,565,0
2014-09-28 03:00:00,Initiative «Schluss mit der MwSt-Diskriminierung des Gastgewerbes!»,229,0
2014-09-28 04:00:00,Initiative «Für eine öffentliche Krankenkasse»,58,0
2014-11-30 05:00:00,Initiative zur Abschaffung der Pauschalbesteuerung,17,0
2014-11-30 06:00:00,Initiative «Stopp der Überbevölkerung – zur Sicherung der natürlichen Lebensgrundlagen»,63,0
2014-11-30 07:00:00,Gold-Initiative,2,0
2015-03-08 08:00:00,Initiative für steuerfreie Kinderzulagen,39,0
2015-03-08 09:00:00,Initiative «Energie- statt Mehrwertsteuer»,46,0
2015-06-14 10:00:00,Verfassungsbestimmung zur Fortpflanzungsmedizin und Gentechnologie im Humanbereich,63,1
2015-06-14 11:00:00,Stipendieninitiative,39,0
2015-06-14 12:00:00,Initiative «Millionen-Erbschaften besteuern für unsere AHV»,94,0
2015-06-14 13:00:00,Radio- und Fernsehgesetz (Radio- und Fernsehabgabe),128,1
2016-02-28 14:00:00,Initiative «gegen die Heiratsstrafe»,24,0
2016-02-28 15:00:00,«Durchsetzungsinitiative»,196,0
2016-02-28 16:00:00,Initiative «Keine Spekulation mit Nahrungsmitteln!»,8,0
2016-02-28 17:00:00,Sanierung Gotthard-Strassentunnel,581,1
2016-06-05 18:00:00,Initiative «Pro Service public»,7,0
2016-06-05 19:00:00,Initiative «Für ein bedingungsloses Grundeinkommen»,7,0
2016-06-05 20:00:00,Initiative «Für eine faire Verkehrsfinanzierung»,408,0
2016-06-05 21:00:00,Fortpflanzungsmedizingesetz,22,1
2016-06-05 22:00:00,Asylgesetz,10,1
2016-09-25 23:00:00,Initiative «Grüne Wirtschaft»,209,0
2016-09-25 00:00:00,Initiative «AHVplus: für eine starke AHV»,182,0
2016-09-25 01:00:00,Nachrichtendienstgesetz,15,1
2016-11-27 02:00:00,Atomausstiegsinitiative,363,0
2017-02-12 03:00:00,Erleichterte Einbürgerung der dritten Ausländergeneration,20,1
2017-02-12 04:00:00,Fonds für die Nationalstrassen und den Agglomerationsverkehr (NAF),228,1
2017-02-12 05:00:00,Unternehmenssteuerreform III,1016,0
2017-05-21 06:00:00,Energiegesetz,467,1
2017-09-24 07:00:00,Bundesbeschluss über die Ernährungssicherheit,68,1
2017-09-24 08:00:00,Zusatzfinanzierung der AHV durch eine Erhöhung der Mehrwertsteuer,351,0
2017-09-24 09:00:00,Reform der Altersvorsorge 2020,351,0
2018-03-04 10:00:00,Neue Finanzordnung 2021,10,1
2018-03-04 11:00:00,Initiative «Abschaffung der Billag-Gebühren»,141,0
2018-06-10 12:00:00,Vollgeld-Initiative,12,0
2018-06-10 13:00:00,Geldspielgesetz,236,1
2018-09-23 14:00:00,Bundesbeschluss über die Velowege sowie die Fuss- und Wanderwege,80,1
2018-09-23 15:00:00,Fair-Food-Initiative,39,0
2018-09-23 16:00:00,Initiative «Für Ernährungssouveränität»,4,0
2018-11-25 17:00:00,Hornkuh-Initiative,20,0
2018-11-25 18:00:00,Selbstbestimmungsinitiative,558,0
2018-11-25 19:00:00,Gesetzliche Grundlage für die Überwachung von Versicherten,25,1
2019-02-10 20:00:00,Zersiedelungsinitiative,15,0
2019-05-19 21:00:00,Steuerreform und AHV-Finanzierung (STAF),760,1
2019-05-19 22:00:00,Umsetzung der EU-Waffenrichtlinie,252,1
2020-02-09 23:00:00,Initiative «Mehr bezahlbare Wohnungen»,41,0
2020-02-09 00:00:00,Verbot der Diskriminierung aufgrund der sexuellen Orientierung,17,1
2020-09-27 01:00:00,Begrenzungsinitiative,228,0
2020-09-27 02:00:00,Jagdgesetz,288,0
2020-09-27 03:00:00,Erhöhung der steuerlichen Kinderabzüge,6,0
2020-09-27 04:00:00,Vaterschaftsurlaub,35,1
2020-09-27 05:00:00,Beschaffung neuer Kampfflugzeuge,177,1
2020-11-29 06:00:00,Konzernverantwortungsinitiative,287,0
2020-11-29 07:00:00,«Kriegsgeschäfte-Initiative»,35,0
2021-03-07 08:00:00,Initiative für ein Verhüllungsverbot,19,1
2021-03-07 09:00:00,Gesetz über elektronische Identifizierungsdienste,150,0
2021-03-07 10:00:00,Freihandelsabkommen mit Indonesien,206,1
2021-06-13 11:00:00,Trinkwasserinitiative,233,0
2021-06-13 12:00:00,Pestizidinitiative,121,0
2021-06-13 13:00:00,Covid-19-Gesetz,34,1
2021-06-13 14:00:00,CO2-Gesetz,881,0
2021-06-13 15:00:00,Gesetz über polizeiliche Massnahmen gegen Terrorismus,11,1
